Year;Country name;Local Democracy
2018;Syria;0.103459455
2018;Lebanon;0.409893004
2018;Jordan;0.111034521
2018;Israel;0.786407913
2018;Saudi Arabia;0.002135578
2018;Yemen;0
2018;Kuwait;0
2018;Bahrain;0.010649735
2018;Qatar;0
2018;United Arab Emirates;0
2018;Oman;0.449707421
2018;Afghanistan;0.190288753
2018;Turkmenistan;0.000900884
2018;Tajikistan;0.002067207
2018;Kyrgyzstan;0.251489109
2018;Uzbekistan;0.00505713
2018;Kazakhstan;0.013312169
2018;China;0
2018;Mongolia;0.487103585
2018;Taiwan;0.853638102
2018;Democratic People's Republic of Korea;0.00455699
2018;Republic of Korea;0.779632324
2018;Japan;0.811039735
2018;India;0.483507231
2018;Pakistan;0.326401516
2018;Bangladesh;0.279836502
2018;Myanmar;0
2018;Sri Lanka;0.557875258
2018;Nepal;0.587169643
2018;Thailand;0
2018;Cambodia;0.165564429
2018;Laos;0.070782015
2018;Viet Nam;0.203158811
2018;Malaysia;0
2018;Singapore;0
2018;Philippines;0.519136674
2018;Indonesia;0.631547227
2018;Timor-Leste;0.799291186
2018;Australia;0.801786715
2018;Papua New Guinea;0.489865989
2018;New Zealand;0.793028664
2018;AU;0.242778038
2018;ASEAN;0.176687684
2018;EU;0.75888422
2018;OECD;0.764050961
2018;OAS;0.652939205
2018;East Africa;0.195153106
2018;Central Africa;0.088068547
2018;Southern Africa;0.480061168
2018;West Africa;0.215100109
2018;North Africa;0.100500803
2018;Caribbean;0.46767393
2018;Central America;0.600521784
2018;South America;0.681683084
2018;North America;0.745580936
2018;Central Asia;0.0545653
2018;East Asia;0.489328456
2018;South Asia;0.404179817
2018;South-East Asia;0.238948034
2018;Oceania;0.694893789
2018;Middle East & Iran;0.103679453
2018;East-Central Europe;0.673814521
2018;Eastern Europe/Post-Soviet Europe;0.273070208
2018;North/Western Europe;0.769903977
2018;Southern Europe;0.736327392
2018;Africa;0.242778038
2018;Latin America and the Caribbean;0.613865669
2018;North America;0.745580936
2018;Asia and the Pacific;0.336934595
2018;Middle East & Iran;0.103679453
2018;Europe;0.644896744
2018;World;0.417986116
2018;United States;0.690696463
2018;Canada;0.800465409
2018;Cuba;0.017678411
2018;Haiti;0.378381744
2018;Jamaica;0.791914911
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
